symbol,proton,mass,atomic no,neutron
H,1 ,1,1 ,0
He,2 ,4,2 ,2
Li,3 ,7,3 ,4
Be,4 ,9,4 ,5
B,5,11,5,6
C,6 ,12,6 ,6
N,7 ,14,7 ,7
O,8 ,16,8 ,8
F,9 ,19,9 ,10
Ne,10 ,20,10 ,10
Na,11 ,23,11 ,12
Mg,12 ,24,12 ,12
Al,13 ,27,13 ,14
Si,14 ,28,14 ,14
P,15 ,31,15 ,16
S,16 ,32,16 ,16
Cl,17 ,35,17 ,18
Ar,18 ,40,18 ,22
K,19 ,30,19 ,21
Ca,20 ,40,20 ,20
Sc,21 ,45,21 ,24
Ti,22 ,48,22 ,26
V,23 ,51,23 ,28
Cr,24 ,52,24 ,28
Mn,25 ,55,25 ,30
Fe,26 ,56,26 ,30
Co,27 ,58,27 ,31
Ni,28 ,58,28 ,30
Cu,29 ,64,29 ,35
Zn,30 ,65,30 ,35
Ga,31 ,70,31 ,39
Ge,32 ,73,32 ,41
As,33 ,75,33 ,42
Se,34 ,79,34 ,45
Br,35 ,80,35 ,45
Kr,36 ,84,36 ,48
Rb,37 ,85,37 ,48
Sr,38 ,88,38 ,50
Y,39 ,89,39 ,50
Zr,40 ,91,40 ,51
Nb,41 ,93,41 ,52
Mo,42 ,96,42 ,54
Tc,43 ,98,43 ,55
Ru,44 ,101,44 ,57
Rh,45 ,103,45 ,58
Pd,46 ,106,46 ,60
Ag,47 ,108,47 ,61
Cd,48 ,112,48 ,64
In,49 ,115,49 ,66
Sn,50 ,119,50 ,69
Sb,51 ,122,51 ,71
Te,52 ,128,52 ,76
I,53 ,127,53 ,74
Xe,54 ,131,54 ,77
Cs,55 ,133,55 ,78
Ba,56 ,137,56 ,81
La,57 ,139,57 ,82
Ce,58 ,140,58 ,82
Pr,59 ,141,59 ,82
Nd,60 ,144,60 ,84
Pm,61 ,145,61 ,84
Sm,62 ,150,62 ,88
Eu,63 ,152,63 ,89
Gd,64 ,157,64 ,93
Tb,65 ,159,65 ,94
Dy,66 ,163,66 ,97
Ho,67 ,165,67 ,98
Er,68 ,167,68 ,99
Tm,69 ,169,69 ,100
Yb,70 ,173,70 ,103
Lu,71 ,175,71 ,104
Hf,72 ,178,72 ,106
Ta,73 ,181,73 ,108
W,74 ,184,74 ,110
Re,75 ,186,75 ,111
Os,76 ,190,76 ,114
Ir,77 ,192,77 ,115
Pt,78 ,195,78 ,117
Au,79 ,197,79 ,118
Hg,80 ,201,80 ,121
Tl,81 ,204,81 ,123
Pb,82 ,207,82 ,125
Bi,83 ,209,83 ,126
Po,84 ,209,84 ,125
At,85 ,210,85 ,125
Rn,86 ,222,86 ,136
Fr,87 ,223,87 ,136
Ra,88 ,226,88 ,138
Ac,89 ,227,89 ,138
Th,90 ,232,90 ,142
Pa,91 ,231,91 ,140
U,92 ,238,92 ,146
Np,93 ,237,93 ,144
Pu,94 ,244,94 ,150
Am,95 ,243,95 ,148
Cm,96 ,247,96 ,151
Bk,97 ,247,97 ,150
Cf,98 ,251,98 ,153
Es,99 ,252,99 ,153
Fm,100 ,257,100 ,157
Md,101 ,258,101 ,157
No,102 ,259,102 ,157
Lr,103 ,262,103 ,159
Rf,104 ,261,104 ,157
Db,105 ,268,105 ,N/A
Sg,106 ,263,106 ,157
Bh,107 ,264,107 ,157
Hs,108 ,269,108 ,161
Mt,109 ,268,109 ,159
Ds,110 ,272,110 ,162
Rg,111 ,273,111 ,162
Uub,112 ,277,112 ,165
Uut,113 ,286,113 ,173
Uuq,114 ,289,114 ,175
Uup,115 ,288,115 ,173
Uuh,116 ,292,116 ,176
Uus,117 ,292,117 ,175
Uuo,118,293,118,175
,,,,
